Enriching credited works for 3452 people (batch=22)…
  already cached: 0; to fetch: 3452
  22/3452 people, 166 credits
  44/3452 people, 324 credits
  66/3452 people, 537 credits
  88/3452 people, 805 credits
  110/3452 people, 1000 credits
  132/3452 people, 1190 credits
  154/3452 people, 1512 credits
  176/3452 people, 1796 credits
  198/3452 people, 1981 credits
  220/3452 people, 2269 credits
  242/3452 people, 2484 credits
  264/3452 people, 2729 credits
  286/3452 people, 2996 credits
  308/3452 people, 3103 credits
  330/3452 people, 3451 credits
  352/3452 people, 3712 credits
  374/3452 people, 4055 credits
  396/3452 people, 4346 credits
  418/3452 people, 4718 credits
  440/3452 people, 4902 credits
  462/3452 people, 5257 credits
  484/3452 people, 5356 credits
  506/3452 people, 5639 credits
  528/3452 people, 5929 credits
  550/3452 people, 6096 credits
  572/3452 people, 6770 credits
  594/3452 people, 7102 credits
  616/3452 people, 7253 credits
  638/3452 people, 7557 credits
  660/3452 people, 7906 credits
  682/3452 people, 8192 credits
  704/3452 people, 8493 credits
  726/3452 people, 8848 credits
  748/3452 people, 9133 credits
  770/3452 people, 9347 credits
  792/3452 people, 9547 credits
  814/3452 people, 9825 credits
  836/3452 people, 10222 credits
  858/3452 people, 10420 credits
  880/3452 people, 10649 credits
  902/3452 people, 10726 credits
  924/3452 people, 10950 credits
  946/3452 people, 11289 credits
  968/3452 people, 11527 credits
  990/3452 people, 11734 credits
  1012/3452 people, 11835 credits
  1034/3452 people, 11971 credits
  1056/3452 people, 12231 credits
  1078/3452 people, 12580 credits
  1100/3452 people, 12781 credits
  1122/3452 people, 12915 credits
  1144/3452 people, 13274 credits
  1166/3452 people, 13486 credits
  1188/3452 people, 13891 credits
  1210/3452 people, 14383 credits
  1232/3452 people, 14829 credits
  1254/3452 people, 15185 credits
  1276/3452 people, 15535 credits
  1298/3452 people, 15751 credits
  1320/3452 people, 15968 credits
  1342/3452 people, 16228 credits
  1364/3452 people, 16541 credits
  1386/3452 people, 16792 credits
  1408/3452 people, 17207 credits
  1430/3452 people, 17380 credits
  1452/3452 people, 17555 credits
  1474/3452 people, 17854 credits
  1496/3452 people, 18248 credits
  1518/3452 people, 18502 credits
  1540/3452 people, 18885 credits
  1562/3452 people, 19111 credits
  1584/3452 people, 19452 credits
  1606/3452 people, 19681 credits
  1628/3452 people, 19929 credits
  1650/3452 people, 20063 credits
  1672/3452 people, 20349 credits
  1694/3452 people, 20673 credits
  1716/3452 people, 20899 credits
  1738/3452 people, 21231 credits
  1760/3452 people, 21334 credits
  1782/3452 people, 21601 credits
  1804/3452 people, 21781 credits
  1826/3452 people, 22037 credits
  1848/3452 people, 22311 credits
  1870/3452 people, 22519 credits
  1892/3452 people, 22828 credits
  1914/3452 people, 22985 credits
  1936/3452 people, 23125 credits
  1958/3452 people, 23261 credits
  1980/3452 people, 23435 credits
  2002/3452 people, 23634 credits
  2024/3452 people, 23876 credits
  2046/3452 people, 24179 credits
  2068/3452 people, 24330 credits
  2090/3452 people, 24588 credits
  2112/3452 people, 24869 credits
  2134/3452 people, 25010 credits
  2156/3452 people, 25192 credits
  2178/3452 people, 25543 credits
  2200/3452 people, 25877 credits
  2222/3452 people, 26369 credits
  2244/3452 people, 26705 credits
  2266/3452 people, 26975 credits
  2288/3452 people, 27338 credits
  2310/3452 people, 27666 credits
  2332/3452 people, 28030 credits
  2354/3452 people, 28280 credits
  2376/3452 people, 28604 credits
  2398/3452 people, 28782 credits
  2420/3452 people, 28918 credits
  2442/3452 people, 29225 credits
  2464/3452 people, 29512 credits
  2486/3452 people, 29626 credits
  2508/3452 people, 29889 credits
  2530/3452 people, 30207 credits
  2552/3452 people, 30521 credits
  2574/3452 people, 30812 credits
  2596/3452 people, 30908 credits
  2618/3452 people, 31045 credits
  2640/3452 people, 31245 credits
  2662/3452 people, 31495 credits
  2684/3452 people, 31781 credits
  2706/3452 people, 32034 credits
  2728/3452 people, 32218 credits
  2750/3452 people, 32517 credits
  2772/3452 people, 32694 credits
  2794/3452 people, 32987 credits
  2816/3452 people, 33180 credits
  2838/3452 people, 33345 credits
  2860/3452 people, 33617 credits
  2882/3452 people, 33752 credits
  2904/3452 people, 33916 credits
  2926/3452 people, 34202 credits
  2948/3452 people, 34600 credits
  2970/3452 people, 34849 credits
  2992/3452 people, 35127 credits
  3014/3452 people, 35360 credits
  3036/3452 people, 35578 credits
  3058/3452 people, 35903 credits
  3080/3452 people, 36209 credits
  3102/3452 people, 36484 credits
  3124/3452 people, 36791 credits
  3146/3452 people, 37064 credits
  3168/3452 people, 37260 credits
  3190/3452 people, 37819 credits
  3212/3452 people, 38088 credits
  3234/3452 people, 38368 credits
  3256/3452 people, 38517 credits
  3278/3452 people, 38737 credits
  3300/3452 people, 38906 credits
  3322/3452 people, 39402 credits
  3344/3452 people, 39674 credits
  3366/3452 people, 39923 credits
  3388/3452 people, 40223 credits
  3410/3452 people, 40392 credits
  3432/3452 people, 40531 credits
  3452/3452 people, 40733 credits
✅ works cached for 3440 people; 2377 have credits → data/works.json
